99999=>长株潭-长株潭 changzhutan.x.com 长株潭
99998=>昆山-昆山 kunshan.x.com 昆山
99997=>义乌-义乌 yiwu.x.com 义乌
99996=>盘州-盘州 panxian.x.com 盘州
227=>江苏-扬州 yangzhou.x.com 扬州
293=>山东-烟台 yantai.x.com 烟台
253=>辽宁-营口 yingkou.x.com 营口
226=>江苏-盐城 yancheng.x.com 盐城
316=>陕西-榆林 yulin2.x.com 榆林
306=>山西-运城 yuncheng.x.com 运城
191=>湖北-宜昌 yichang.x.com 宜昌
1871=>江苏-无锡-宜兴市 yixingshi.x.com 宜兴市
106=>广西-玉林 yulin.x.com 玉林
205=>湖南-岳阳 yueyang.x.com 岳阳
335=>四川-宜宾 yibin.x.com 宜宾
315=>陕西-延安 yanan.x.com 延安
215=>吉林-延边 yanbian.x.com 延边
266=>宁夏-银川 yinchuan.x.com 银川
305=>山西-阳泉 yangquan.x.com 阳泉
204=>湖南-永州 yongzhou.x.com 永州
87=>广东-阳江 yangjiang.x.com 阳江
203=>湖南-益阳 yiyang.x.com 益阳
238=>江西-宜春 yichun2.x.com 宜春
377=>云南-玉溪 yuxi.x.com 玉溪
239=>江西-鹰潭 yingtan.x.com 鹰潭
334=>四川-雅安 yaan.x.com 雅安
88=>广东-云浮 yunfu.x.com 云浮
1849=>江苏-苏州-张家港市 zhangjiagangshi.x.com 张家港市
144=>河北-张家口 zhangjiakou.x.com 张家口
145=>河南-郑州 zhengzhou.x.com 郑州
91=>广东-中山 zhongshan.x.com 中山
92=>广东-珠海 zhuhai.x.com 珠海
295=>山东-淄博 zibo.x.com 淄博
57=>福建-漳州 zhangzhou.x.com 漳州
228=>江苏-镇江 zhenjiang.x.com 镇江
89=>广东-湛江 zhanjiang.x.com 湛江
90=>广东-肇庆 zhaoqing.x.com 肇庆
294=>山东-枣庄 zaozhuang.x.com 枣庄
115=>贵州-遵义 zunyi.x.com 遵义
160=>河南-驻马店 zhumadian.x.com 驻马店
159=>河南-周口 zhoukou.x.com 周口
337=>四川-自贡 zigong.x.com 自贡
388=>浙江-舟山 zhoushan.x.com 舟山
71=>甘肃-张掖 zhangye.x.com 张掖
194=>湖南-张家界 zhangjiajie.x.com 张家界
561=>福建-泉州-晋江市 jinjiangshi.x.com 晋江市
3279=>浙江-宁波-慈溪市 cixishi.x.com 慈溪市
1647=>湖南-长沙-长沙县 zhangshaxian.x.com 长沙县
1862=>江苏-苏州-太仓市 taicangshi.x.com 太仓市
1646=>湖南-长沙-浏阳市 liuyangshi.x.com 浏阳市
2685=>陕西-榆林-神木县 shenmuxian.x.com 神木县
1901=>江苏-南通-海门市 haimenshi.x.com 海门市
563=>福建-泉州-惠安县 huianxian.x.com 惠安县
3288=>浙江-绍兴-诸暨市 zhujishi.x.com 诸暨市
1036=>贵州-遵义-仁怀市 renhuaishi.x.com 仁怀市
562=>福建-泉州-南安市 nananshi.x.com 南安市
1649=>湖南-长沙-宁乡县 ningxiangxian.x.com 宁乡县
1899=>江苏-南通-如皋市 rugaoshi.x.com 如皋市
3302=>浙江-温州-乐清市 leqingshi.x.com 乐清市
3=>福建 fujian.x.com 福建
3278=>浙江-宁波-余姚市 yuyaoshi.x.com 余姚市
1898=>江苏-南通-启东市 qidongshi.x.com 启东市
2342=>山东-青岛-胶州市 jiaozhoushi.x.com 胶州市
1902=>江苏-南通-海安县 haianxian.x.com 海安县
1948=>江苏-镇江-丹阳市 danyangshi.x.com 丹阳市
3292=>浙江-台州-温岭市 wenlingshi.x.com 温岭市
1914=>江苏-泰州-泰兴市 taixingshi.x.com 泰兴市
2444=>山东-烟台-龙口市 longkoushi.x.com 龙口市
1903=>江苏-南通-如东县 rudongxian.x.com 如东县
1959=>江西-南昌-南昌县 nanchangxian.x.com 南昌县
3243=>浙江-嘉兴-海宁市 hainingshi.x.com 海宁市
1878=>江苏-常州-溧阳市 liyangshi.x.com 溧阳市
3301=>浙江-温州-瑞安市 ruianshi.x.com 瑞安市
1913=>江苏-泰州-靖江市 jingjiangshi.x.com 靖江市
3246=>浙江-嘉兴-桐乡市 tongxiangshi.x.com 桐乡市
1922=>江苏-徐州-邳州市 pizhoushi.x.com 邳州市
1201=>河北-唐山-迁安市 qiananshi.x.com 迁安市
1907=>江苏-宿迁-沭阳县 shuyangxian.x.com 沭阳县
1931=>江苏-盐城-东台市 dongtaishi.x.com 东台市
2423=>山东-威海-荣成市 rongchengshi.x.com 荣成市
560=>福建-泉州-石狮市 shishishi.x.com 石狮市
2074=>辽宁-大连-瓦房店市 wafangdianshi.x.com 瓦房店市
1912=>江苏-泰州-兴化市 xinghuashi.x.com 兴化市
177=>湖北-仙桃 xiantao.x.com 仙桃
2197=>内蒙古-鄂尔多斯-准格尔旗 zhungeerqi.x.com 准格尔旗
1942=>江苏-扬州-高邮市 gaoyoushi.x.com 高邮市
183=>湖北-潜江 qianjiang.x.com 潜江
2383=>山东-济宁-邹城市 zouchengshi.x.com 邹城市
3365=>安徽-合肥-肥西县 feixixian.x.com 肥西县
1255=>河南-郑州-巩义市 gongyishi.x.com 巩义市
1924=>江苏-徐州-沛县 peixian.x.com 沛县
1941=>江苏-扬州-仪征市 yizhengshi.x.com 仪征市
2433=>山东-潍坊-寿光市 shouguangshi.x.com 寿光市
1372=>河南-许昌-禹州市 yuzhoushi.x.com 禹州市
2457=>山东-枣庄-滕州市 tengzhoushi.x.com 滕州市
518=>福建-福州-闽侯县 minhouxian.x.com 闽侯县
2202=>内蒙古-鄂尔多斯-伊金霍洛旗 yijinhuoluoqi.x.com 伊金霍洛旗
1258=>河南-郑州-新郑市 xinzhengshi.x.com 新郑市
1758=>湖南-株洲-醴陵市 lilingshi.x.com 醴陵市
1607=>湖北-襄樊-枣阳市 zaoyangshi.x.com 枣阳市
3015=>新疆-巴音郭楞-库尔勒市 kuerleishi.x.com 库尔勒市
3282=>浙江-宁波-宁海县 ninghaixian.x.com 宁海县
3239=>浙江-湖州-长兴县 zhangxingxian.x.com 长兴县
2420=>山东-泰安-肥城市 feichengshi.x.com 肥城市
150=>河南-济源 jiyuan.x.com 济源
1921=>江苏-徐州-新沂市 xinyishi2.x.com 新沂市
2344=>山东-青岛-平度市 pingdushi.x.com 平度市
1257=>河南-郑州-新密市 xinmishi.x.com 新密市
2448=>山东-烟台-招远市 zhaoyuanshi.x.com 招远市
1626=>湖北-宜昌-宜都市 yidoushi.x.com 宜都市
2446=>山东-烟台-莱州市 laizhoushi.x.com 莱州市
1950=>江苏-镇江-句容市 jurongshi.x.com 句容市
